,-6,-5,-4,-3,-2,-1,0,1,2,3,4,,
1:00,0.0%,0.0%,0.0%,0.0%,6.5%,6.5%,48.4%,32.3%,0.0%,3.2%,3.2%,1,
2:00,0.0%,0.0%,3.2%,0.0%,0.0%,29.0%,32.3%,29.0%,6.5%,0.0%,0.0%,1,
3:00,0.0%,0.0%,0.0%,3.2%,3.2%,16.1%,48.4%,16.1%,9.7%,3.2%,0.0%,1,
4:00,0.0%,0.0%,0.0%,3.2%,0.0%,16.1%,48.4%,29.0%,0.0%,3.2%,0.0%,1,
5:00,0.0%,0.0%,0.0%,0.0%,6.5%,25.8%,45.2%,19.4%,3.2%,0.0%,0.0%,1,
6:00,0.0%,0.0%,0.0%,0.0%,0.0%,29.0%,48.4%,22.6%,0.0%,0.0%,0.0%,1,
7:00,0.0%,0.0%,0.0%,0.0%,3.2%,22.6%,51.6%,19.4%,3.2%,0.0%,0.0%,1,
8:00,0.0%,9.7%,12.9%,32.3%,29.0%,6.5%,9.7%,0.0%,0.0%,0.0%,0.0%,1,
9:00,3.2%,3.2%,19.4%,35.5%,19.4%,16.1%,3.2%,0.0%,0.0%,0.0%,0.0%,1,
10:00,0.0%,6.5%,19.4%,22.6%,29.0%,16.1%,6.5%,0.0%,0.0%,0.0%,0.0%,1,
11:00,0.0%,0.0%,0.0%,3.2%,25.8%,35.5%,32.3%,3.2%,0.0%,0.0%,0.0%,1,
12:00,0.0%,0.0%,0.0%,6.5%,9.7%,58.1%,22.6%,3.2%,0.0%,0.0%,0.0%,1,
13:00,0.0%,0.0%,0.0%,3.2%,19.4%,48.4%,25.8%,3.2%,0.0%,0.0%,0.0%,1,
14:00,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,6.5%,77.4%,12.9%,3.2%,0.0%,1,
15:00,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,25.8%,54.8%,16.1%,3.2%,0.0%,1,
16:00,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,19.4%,67.7%,12.9%,0.0%,0.0%,1,
17:00,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,12.9%,45.2%,32.3%,6.5%,3.2%,1,
18:00,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,16.1%,51.6%,29.0%,3.2%,0.0%,1,
19:00,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,32.3%,38.7%,19.4%,9.7%,0.0%,1,
20:00,0.0%,0.0%,0.0%,0.0%,0.0%,3.2%,32.3%,41.9%,16.1%,3.2%,3.2%,1,
