index,temp in
       0.0,       4.0
       1.0,       5.0
       2.0,       6.0
       3.0,       7.0
       4.0,       8.0
       5.0,       9.0
       6.0,      10.0
       7.0,      11.0
       8.0,      12.0
       9.0,      13.0
      10.0,      14.0
      11.0,      15.0
      12.0,      16.0
      13.0,      17.0
      14.0,      18.0
      15.0,      19.0
      16.0,      20.0
      17.0,      21.0
      18.0,      22.0
      19.0,      23.0
      20.0,      24.0
      21.0,      25.0
      22.0,      26.0
      23.0,      27.0
      24.0,      28.0
      25.0,      29.0
      26.0,      30.0
      27.0,      31.0
      28.0,      32.0
      29.0,      33.0
