index,temp out,temp in
       0.0,     -35.0,       4.0
       1.0,     -35.0,       5.0
       2.0,     -35.0,       6.0
       3.0,     -35.0,       7.0
       4.0,     -35.0,       8.0
       5.0,     -35.0,       9.0
       6.0,     -35.0,      10.0
       7.0,     -35.0,      11.0
       8.0,     -35.0,      12.0
       9.0,     -35.0,      13.0
      10.0,     -35.0,      14.0
      11.0,     -35.0,      15.0
      12.0,     -35.0,      16.0
      13.0,     -35.0,      17.0
      14.0,     -35.0,      18.0
      15.0,     -35.0,      19.0
      16.0,     -35.0,      20.0
      17.0,     -35.0,      21.0
      18.0,     -35.0,      22.0
      19.0,     -35.0,      23.0
      20.0,     -35.0,      24.0
      21.0,     -35.0,      25.0
      22.0,     -35.0,      26.0
      23.0,     -35.0,      27.0
      24.0,     -35.0,      28.0
      25.0,     -35.0,      29.0
      26.0,     -35.0,      30.0
      27.0,     -35.0,      31.0
      28.0,     -35.0,      32.0
      29.0,     -35.0,      33.0
      30.0,     -34.0,       4.0
      31.0,     -34.0,       5.0
      32.0,     -34.0,       6.0
      33.0,     -34.0,       7.0
      34.0,     -34.0,       8.0
      35.0,     -34.0,       9.0
      36.0,     -34.0,      10.0
      37.0,     -34.0,      11.0
      38.0,     -34.0,      12.0
      39.0,     -34.0,      13.0
      40.0,     -34.0,      14.0
      41.0,     -34.0,      15.0
      42.0,     -34.0,      16.0
      43.0,     -34.0,      17.0
      44.0,     -34.0,      18.0
      45.0,     -34.0,      19.0
      46.0,     -34.0,      20.0
      47.0,     -34.0,      21.0
      48.0,     -34.0,      22.0
      49.0,     -34.0,      23.0
      50.0,     -34.0,      24.0
      51.0,     -34.0,      25.0
      52.0,     -34.0,      26.0
      53.0,     -34.0,      27.0
      54.0,     -34.0,      28.0
      55.0,     -34.0,      29.0
      56.0,     -34.0,      30.0
      57.0,     -34.0,      31.0
      58.0,     -34.0,      32.0
      59.0,     -34.0,      33.0
      60.0,     -33.0,       4.0
      61.0,     -33.0,       5.0
      62.0,     -33.0,       6.0
      63.0,     -33.0,       7.0
      64.0,     -33.0,       8.0
      65.0,     -33.0,       9.0
      66.0,     -33.0,      10.0
      67.0,     -33.0,      11.0
      68.0,     -33.0,      12.0
      69.0,     -33.0,      13.0
      70.0,     -33.0,      14.0
      71.0,     -33.0,      15.0
      72.0,     -33.0,      16.0
      73.0,     -33.0,      17.0
      74.0,     -33.0,      18.0
      75.0,     -33.0,      19.0
      76.0,     -33.0,      20.0
      77.0,     -33.0,      21.0
      78.0,     -33.0,      22.0
      79.0,     -33.0,      23.0
      80.0,     -33.0,      24.0
      81.0,     -33.0,      25.0
      82.0,     -33.0,      26.0
      83.0,     -33.0,      27.0
      84.0,     -33.0,      28.0
      85.0,     -33.0,      29.0
      86.0,     -33.0,      30.0
      87.0,     -33.0,      31.0
      88.0,     -33.0,      32.0
      89.0,     -33.0,      33.0
      90.0,     -32.0,       4.0
      91.0,     -32.0,       5.0
      92.0,     -32.0,       6.0
      93.0,     -32.0,       7.0
      94.0,     -32.0,       8.0
      95.0,     -32.0,       9.0
      96.0,     -32.0,      10.0
      97.0,     -32.0,      11.0
      98.0,     -32.0,      12.0
      99.0,     -32.0,      13.0
     100.0,     -32.0,      14.0
     101.0,     -32.0,      15.0
     102.0,     -32.0,      16.0
     103.0,     -32.0,      17.0
     104.0,     -32.0,      18.0
     105.0,     -32.0,      19.0
     106.0,     -32.0,      20.0
     107.0,     -32.0,      21.0
     108.0,     -32.0,      22.0
     109.0,     -32.0,      23.0
     110.0,     -32.0,      24.0
     111.0,     -32.0,      25.0
     112.0,     -32.0,      26.0
     113.0,     -32.0,      27.0
     114.0,     -32.0,      28.0
     115.0,     -32.0,      29.0
     116.0,     -32.0,      30.0
     117.0,     -32.0,      31.0
     118.0,     -32.0,      32.0
     119.0,     -32.0,      33.0
     120.0,     -31.0,       4.0
