Ti,Ti_prime,To,a
21.781,22.177,-4.8,6000
22.177,16.319,-4,6000
16.319,26.232,-3.5,0
26.232,22.624,-3,10000
22.624,26.379,-2.7,6000
26.379,22.567,-2.5,10000
22.567,26.565,-2.2,6000
26.565,26.755,-1.8,10000
26.755,23.089,-1.7,10000
23.089,23.183,-1.7,6000
23.183,23.236,-1.3,6000
23.236,23.237,-1.2,6000
23.237,27.044,-1.1,6000
27.044,27.234,-1.6,10000
27.234,27.263,-2,10000
27.263,27.304,-2.7,10000
27.304,27.338,-3,10000
27.338,27.345,-3.4,10000
27.345,27.415,-3.9,10000
27.415,27.519,-4,10000
27.519,23.616,-4,10000
23.616,17.722,-4.4,6000
17.722,23.27,-4.3,0
23.27,23.278,-4.3,6000
23.278,23.215,-4.4,6000
23.215,17.302,-4.6,6000
17.302,26.563,-5,0
26.563,22.81,-5.5,10000
22.81,26.353,-6.5,6000
26.353,22.484,-7.6,10000
22.484,26.606,-8.8,6000
26.606,27.254,-7.3,10000
27.254,24.025,-5.8,10000
24.025,24.302,-4.4,6000
24.302,24.576,-3.4,6000
24.576,24.748,-2.5,6000
24.748,28.755,-1.7,6000
28.755,28.902,-2.9,10000
28.902,29.025,-4.1,10000
29.025,29.032,-5.5,10000
29.032,29.055,-5.9,10000
29.055,29.035,-6.1,10000
29.035,28.735,-6.6,10000
28.735,28.491,-7.9,10000
28.491,24.259,-9.1,10000
24.259,18.502,-10.6,6000
18.502,24.369,-9.6,0
24.369,24.567,-8.6,6000
24.567,24.875,-7.8,6000
24.875,19.162,-6.5,6000
19.162,29.06,-5.4,0
29.06,25.499,-4.4,10000
25.499,29.395,-3.2,6000
29.395,25.701,-2,10000
25.701,29.547,-1.1,6000
29.547,29.789,0.4,10000
29.789,26.296,1.7,10000
26.296,26.456,3.2,6000
26.456,26.654,3.2,6000
26.654,26.929,3.2,6000
26.929,30.769,3.2,6000
30.769,30.874,2.7,10000
30.874,30.925,2.2,10000
30.925,30.852,1.7,10000
30.852,30.782,-0.6,10000
30.782,30.73,-3,10000
30.73,30.78,-5.5,10000
30.78,30.851,-5.5,10000
30.851,27.046,-5.5,10000
27.046,21.101,-5.5,6000
21.101,26.637,-5.3,0
26.637,26.625,-5,6000
26.625,26.383,-5,6000
26.383,20.283,-5.5,6000
20.283,29.382,-6.4,0
29.382,25.655,-7.1,10000
25.655,29.311,-7.6,6000
29.311,25.533,-8.1,10000
25.533,29.68,-8.8,6000
29.68,30.323,-7.3,10000
30.323,27.082,-5.8,10000
27.082,27.241,-4.4,6000
27.241,27.285,-4,6000
27.285,27.192,-4,6000
27.192,30.953,-3.9,6000
30.953,30.911,-4.6,10000
30.911,30.668,-5.6,10000
30.668,30.428,-6.6,10000
30.428,30.22,-7,10000
30.22,29.973,-7.3,10000
29.973,29.866,-7.8,10000
29.866,29.899,-7.5,10000
29.899,26.086,-7.3,10000
26.086,20.166,-7.1,6000
20.166,25.482,-7,0
25.482,25.399,-7,6000
25.399,25.252,-7.1,6000
25.252,19.336,-7.3,6000
19.336,28.301,-7.5,0
28.301,24.682,-7.8,10000
24.682,28.293,-7.6,6000
28.293,24.676,-7.6,10000
24.676,28.251,-7.8,6000
28.251,28.254,-8.1,10000
28.254,24.554,-8.3,10000
24.554,24.505,-8.8,6000
24.505,24.49,-9.1,6000
24.49,24.463,-9.5,6000
24.463,28.076,-10,6000
28.076,27.983,-10.6,10000
27.983,27.953,-11.3,10000
27.953,27.882,-12.1,10000
27.882,27.945,-12.5,10000
27.945,27.876,-12.8,10000
27.876,27.994,-13.3,10000
27.994,28.117,-13.3,10000
28.117,24.431,-13.6,10000
24.431,18.459,-13.8,6000
18.459,23.697,-14.1,0
23.697,23.493,-14.5,6000
23.493,23.134,-15,6000
23.134,16.965,-16.2,6000
16.965,25.692,-17.5,0
25.692,21.71,-18.8,10000
21.71,25.058,-19.7,6000
25.058,21.054,-20.7,10000
21.054,24.596,-21.7,6000
24.596,24.617,-21.6,10000
24.617,20.728,-21.6,10000
20.728,20.827,-21.7,6000
20.827,20.939,-21.2,6000
20.939,21.148,-20.8,6000
21.148,24.906,-20.6,6000
24.906,24.866,-21,10000
24.866,24.589,-21.6,10000
24.589,24.355,-22.2,10000
24.355,24.074,-22.7,10000
24.074,23.809,-23.6,10000
23.809,23.688,-24.3,10000
23.688,23.485,-25.1,10000
23.485,19.435,-25.7,10000
19.435,13.405,-26.7,6000
13.405,18.65,-27.1,0
18.65,18.4,-27.7,6000
18.4,18.325,-28.2,6000
