Hour,Temperature_degC
1:00,-7
2:00,-7.2
3:00,-8.1
4:00,-9.1
5:00,-10
6:00,-10
7:00,-10
8:00,-10
9:00,-8
10:00,-5.9
11:00,-3.9
12:00,-3.5
13:00,-3.2
14:00,-2.8
15:00,-4.1
16:00,-5.4
17:00,-6.7
18:00,-8
19:00,-9.3
20:00,-10.6
21:00,-10.6
22:00,-10.6
23:00,-10.6
0:00,-10.6
1:00,-10.6
2:00,-10.6
3:00,-10.4
4:00,-10.2
5:00,-10
6:00,-10.2
7:00,-10.4
8:00,-10.6
9:00,-8.9
10:00,-7.3
11:00,-5.6
12:00,-4.5
13:00,-3.3
14:00,-2.2
15:00,-2.8
16:00,-3.3
17:00,-3.9
18:00,-3.9
19:00,-3.9
20:00,-3.9
21:00,-6.1
22:00,-8.4
23:00,-10.6
0:00,-10.8
1:00,-10.9
2:00,-11.1
3:00,-11.5
4:00,-11.8
5:00,-12.2
6:00,-12.6
7:00,-12.9
8:00,-13.3
9:00,-9.6
10:00,-5.9
11:00,-2.2
12:00,-2
13:00,-1.9
14:00,-1.7
15:00,-2.8
16:00,-3.9
17:00,-5
18:00,-6.3
19:00,-7.6
20:00,-8.9
21:00,-9.6
22:00,-10.4
23:00,-11.1
0:00,-10
1:00,-8.9
2:00,-7.8
3:00,-10.4
4:00,-13
5:00,-15.6
6:00,-14.5
7:00,-13.3
8:00,-12.2
9:00,-9.1
10:00,-5.9
11:00,-2.8
12:00,-1.9
13:00,-0.9
14:00,0
15:00,-1.9
16:00,-3.7
17:00,-5.6
18:00,-6.5
19:00,-7.4
20:00,-8.3
21:00,-8.9
22:00,-9.4
23:00,-10
0:00,-10.7
1:00,-11.5
2:00,-12.2
3:00,-12.6
4:00,-12.9
5:00,-13.3
6:00,-13.7
7:00,-14
8:00,-14.4
9:00,-14
10:00,-13.7
11:00,-13.3
12:00,-12.6
13:00,-11.8
14:00,-11.1
15:00,-12.2
16:00,-13.3
17:00,-14.4
18:00,-16.1
19:00,-17.7
20:00,-19.4
21:00,-19.6
22:00,-19.8
23:00,-20
0:00,-20.6
1:00,-21.1
2:00,-21.7
3:00,-22.2
4:00,-22.8
5:00,-23.3
6:00,-22.6
7:00,-21.8
8:00,-21.1
9:00,-18.1
10:00,-15.2
11:00,-12.2
12:00,-10.2
13:00,-8.1
14:00,-6.1
15:00,-7.4
16:00,-8.7
17:00,-10
18:00,-10.6
19:00,-11.1
20:00,-11.7
21:00,-11.5
22:00,-11.3
23:00,-11.1
0:00,-11.5
1:00,-11.8
2:00,-12.2
3:00,-13.9
4:00,-15.5
5:00,-17.2
6:00,-17.4
7:00,-17.6
8:00,-17.8
