index,temp out,temp in
       0.0,     -23.0,       5.0
       1.0,     -23.0,       6.0
       2.0,     -23.0,       7.0
       3.0,     -23.0,       8.0
       4.0,     -23.0,       9.0
       5.0,     -23.0,      10.0
       6.0,     -23.0,      11.0
       7.0,     -23.0,      12.0
       8.0,     -23.0,      13.0
       9.0,     -23.0,      14.0
      10.0,     -23.0,      15.0
      11.0,     -23.0,      16.0
      12.0,     -23.0,      17.0
      13.0,     -23.0,      18.0
      14.0,     -23.0,      19.0
      15.0,     -23.0,      20.0
      16.0,     -23.0,      21.0
      17.0,     -23.0,      22.0
      18.0,     -23.0,      23.0
      19.0,     -23.0,      24.0
      20.0,     -23.0,      25.0
      21.0,     -23.0,      26.0
      22.0,     -23.0,      27.0
      23.0,     -23.0,      28.0
      24.0,     -23.0,      29.0
      25.0,     -23.0,      30.0
      26.0,     -23.0,      31.0
      27.0,     -23.0,      32.0
      28.0,     -23.0,      33.0
      29.0,     -23.0,      34.0
      30.0,     -23.0,      35.0
      31.0,     -23.0,      36.0
      32.0,     -23.0,      37.0
      33.0,     -23.0,      38.0
      34.0,     -23.0,      39.0
      35.0,     -23.0,      40.0
      36.0,     -23.0,      41.0
      37.0,     -23.0,      42.0
      38.0,     -23.0,      43.0
      39.0,     -23.0,      44.0
      40.0,     -23.0,      45.0
      41.0,     -23.0,      46.0
      42.0,     -23.0,      47.0
      43.0,     -23.0,      48.0
      44.0,     -23.0,      49.0
      45.0,     -23.0,      50.0
      46.0,     -23.0,      51.0
      47.0,     -23.0,      52.0
      48.0,     -23.0,      53.0
      49.0,     -23.0,      54.0
      50.0,     -23.0,      55.0
      51.0,     -23.0,      56.0
      52.0,     -23.0,      57.0
      53.0,     -22.0,       5.0
      54.0,     -22.0,       6.0
      55.0,     -22.0,       7.0
      56.0,     -22.0,       8.0
      57.0,     -22.0,       9.0
      58.0,     -22.0,      10.0
      59.0,     -22.0,      11.0
      60.0,     -22.0,      12.0
      61.0,     -22.0,      13.0
      62.0,     -22.0,      14.0
      63.0,     -22.0,      15.0
      64.0,     -22.0,      16.0
      65.0,     -22.0,      17.0
      66.0,     -22.0,      18.0
      67.0,     -22.0,      19.0
      68.0,     -22.0,      20.0
      69.0,     -22.0,      21.0
      70.0,     -22.0,      22.0
      71.0,     -22.0,      23.0
      72.0,     -22.0,      24.0
      73.0,     -22.0,      25.0
      74.0,     -22.0,      26.0
      75.0,     -22.0,      27.0
      76.0,     -22.0,      28.0
      77.0,     -22.0,      29.0
      78.0,     -22.0,      30.0
      79.0,     -22.0,      31.0
      80.0,     -22.0,      32.0
      81.0,     -22.0,      33.0
      82.0,     -22.0,      34.0
      83.0,     -22.0,      35.0
      84.0,     -22.0,      36.0
      85.0,     -22.0,      37.0
      86.0,     -22.0,      38.0
      87.0,     -22.0,      39.0
      88.0,     -22.0,      40.0
      89.0,     -22.0,      41.0
      90.0,     -22.0,      42.0
      91.0,     -22.0,      43.0
      92.0,     -22.0,      44.0
      93.0,     -22.0,      45.0
      94.0,     -22.0,      46.0
      95.0,     -22.0,      47.0
      96.0,     -22.0,      48.0
      97.0,     -22.0,      49.0
      98.0,     -22.0,      50.0
      99.0,     -22.0,      51.0
     100.0,     -22.0,      52.0
     101.0,     -22.0,      53.0
     102.0,     -22.0,      54.0
